记录类型,实体类型,ID,名称,难度,内容,存储开销,核心特性,时间复杂度,空间复杂度,设计思想,适用场景,关系类型,源实体,目标实体
实体,数据结构,04DS005,链栈,入门,使用链表（链接存储结构）实现的栈。通常使用单链表实现，栈顶指针指向链表头结点。插入和删除操作的时间复杂度为O(1)，空间可以动态增长，理论上不存在栈满问题（受限于内存）。,O(n)，n为元素个数,链式存储、O(1)操作、动态空间,,,,,,,
实体,数据结构,04DS006,顺序队列,入门,使用数组（顺序存储结构）实现的队列。通常需要一个数组以及队首（front）和队尾（rear）两个指针。为了有效利用空间，常实现为循环队列，通过取模运算处理边界。入队和出队操作的时间复杂度为O(1)，但可能存在“假溢出”问题（通过循环队列解决）或队列满需要扩容。,O(N)，N为预分配数组大小,顺序存储、循环利用空间、O(1)操作（无扩容时）、可能队满,,,,,,,
实体,数据结构,04DS007,链队,入门,使用链表（链接存储结构）实现的队列。通常使用带头尾指针的单链表实现，队首指针指向头结点，队尾指针指向尾结点。入队和出队操作的时间复杂度为O(1)，空间可以动态增长。,O(n)，n为元素个数,链式存储、O(1)操作、动态空间,,,,,,,
实体,数据结构,04DS008,优先级队列,中等,一种特殊的队列，队列中的每个元素都关联一个优先级。出队时，总是优先级最高的元素先出队。插入元素时需要维护优先级顺序。通常使用堆来实现。,通常O(n)，取决于实现,按优先级出队,,,,,,,
实体,算法,04ALG001,初始化栈,入门,创建一个空栈。对于顺序栈，通常是将栈顶指针设为-1或特定初始值，并可能分配存储空间；对于链栈，是将栈顶指针设为NULL。,,,O(1) 或 O(MaxSize)（如果涉及初始化数组）,O(1) 或 O(MaxSize),初始化,使用栈之前,,,
实体,算法,04ALG002,进栈,入门,将一个新元素添加到栈顶。对于顺序栈，是将栈顶指针加1，然后将元素存入指针指向的位置（需检查栈满）；对于链栈，是创建一个新结点，使其指向原栈顶结点，然后更新栈顶指针。,,,O(1) （顺序栈不考虑扩容时）,O(1),插入,向栈中添加元素,,,
实体,算法,04ALG003,出栈,入门,删除栈顶元素并返回其值。对于顺序栈，是先获取栈顶元素值，然后将栈顶指针减1（需检查栈空）；对于链栈，是获取头结点数据，更新栈顶指针指向下一个结点，并释放原头结点（需检查栈空）。,,,O(1),O(1),删除,从栈中移除并获取元素,,,
实体,算法,04ALG004,读取栈顶元素,入门,返回栈顶元素的值，但不删除它。对于顺序栈，是直接返回栈顶指针指向位置的元素；对于链栈，是返回头结点的数据（需检查栈空）。,,,O(1),O(1),访问,查看栈顶元素而不修改栈,,,
实体,算法,04ALG005,判断栈空,入门,检查栈是否包含任何元素。对于顺序栈，通常是检查栈顶指针是否等于-1或特定初始值；对于链栈，是检查栈顶指针是否为NULL。,,,O(1),O(1),状态检查,执行出栈或读取栈顶元素前的安全检查,,,
实体,算法,04ALG006,清空栈,入门,移除栈中所有元素，使其变为空栈。对于顺序栈，只需重置栈顶指针；对于链栈，需要遍历并释放所有结点。,,,O(1) (顺序栈) 或 O(n) (链栈),O(1),重置/清理,重用栈结构或释放资源,,,
实体,算法,04ALG007,初始化队列,入门,创建一个空队列。对于顺序队列，通常是将队首和队尾指针设为相同值（如0），并可能分配存储空间；对于链队，是将队首和队尾指针都设为NULL。,,,O(1) 或 O(MaxSize),O(1) 或 O(MaxSize),初始化,使用队列之前,,,
实体,算法,04ALG008,进队,入门,将一个新元素添加到队尾。对于顺序（循环）队列，是将元素存入队尾指针指向的位置，然后队尾指针加1（取模）（需检查队满）；对于链队，是创建新结点，链接到队尾，并更新队尾指针。,,,O(1) （顺序队列不考虑扩容时）,O(1),插入,向队列中添加元素,,,
实体,算法,04ALG009,出队,入门,删除队首元素并返回其值。对于顺序（循环）队列，是获取队首指针加1（取模）位置的元素，然后队首指针加1（取模）（需检查队空）；对于链队，是获取头结点数据，更新队首指针指向下一个结点，并释放原头结点（若删除后队列为空，需更新队尾指针）。,,,O(1),O(1),删除,从队列中移除并获取元素,,,
实体,算法,04ALG010,读取队首元素,入门,返回队首元素的值，但不删除它。对于顺序（循环）队列，是返回队首指针加1（取模）位置的元素；对于链队，是返回头结点的数据（需检查队空）。,,,O(1),O(1),访问,查看队首元素而不修改队列,,,
实体,算法,04ALG011,判断队空,入门,检查队列是否包含任何元素。对于顺序（循环）队列，通常是检查队首和队尾指针是否相等；对于链队，是检查队首（或队尾）指针是否为NULL。,,,O(1),O(1),状态检查,执行出队或读取队首元素前的安全检查,,,
实体,算法,04ALG012,清空队列,入门,移除队列中所有元素，使其变为空队列。对于顺序队列，只需重置队首和队尾指针；对于链队，需要遍历并释放所有结点。,,,O(1) (顺序队列) 或 O(n) (链队),O(1),重置/清理,重用队列结构或释放资源,,,
实体,算法,04ALG013,括号配对检查,入门,"检查一个表达式或代码段中的括号（如(), [], {}）是否正确配对。算法通常遍历字符串，遇到左括号则入栈，遇到右括号则检查栈顶是否为对应左括号，若是则出栈，否则配对失败。结束后若栈为空则配对成功。",,,O(n)，n为字符串长度,O(n)，最坏情况下所有左括号入栈,栈应用、匹配,编译器语法分析、代码编辑器检查,,,
实体,算法,04ALG014,进制转换,入门,将一个十进制数转换为其他进制（如二进制、八进制、十六进制）的数。常用方法是“除基取余法”，将每次得到的余数入栈，转换完成后依次出栈即可得到正确顺序的转换结果。,,,O(log_r N)，N为十进制数，r为目标进制基数,O(log_r N)，栈的深度,栈应用、数制转换,数值表示转换,,,
实体,算法,04ALG015,后缀表达式求值,中等,计算后缀表达式（逆波兰表示法）的值。算法从左到右扫描表达式，遇到操作数则入栈，遇到运算符则从栈中弹出所需数量的操作数进行运算，并将结果压回栈中。表达式扫描完毕后，栈中唯一的值即为结果。,,,O(n)，n为表达式长度,O(n)，最坏情况下操作数栈的大小,栈应用、表达式求值,计算器实现、编译器中间代码执行,,,
实体,算法,04ALG016,中缀转后缀,中等,将普通的中缀算术表达式转换为后缀表达式（逆波兰表示法）。算法使用一个栈来暂存运算符，根据运算符优先级和括号来决定运算符的出栈顺序并添加到后缀表达式中，操作数则直接添加到后缀表达式。,,,O(n)，n为表达式长度,O(n)，最坏情况下运算符栈的大小,栈应用、表达式转换、优先级处理,编译器语法分析、后缀表达式求值的前置步骤,,,
实体,算法,04ALG017,求n阶乘,入门,计算非负整数n的阶乘（n! = 1 * 2 * ... * n，0! = 1）。可以使用循环或递归实现。递归定义为 f(n) = n * f(n-1) 当 n>0，f(0) = 1。,,,O(n),O(1)（循环）或 O(n)（递归栈深度）,循环、递归,数学计算、组合问题,,,
实体,算法,04ALG018,输出布尔组合,中等,生成n个布尔变量所有可能的真/假组合（共2^n种）。通常使用递归实现，每次递归决定一个变量的取值（0或1），递归到第n层时输出当前组合。,,,O(n * 2^n)，因为有2^n种组合，每种组合输出需要O(n),O(n)，递归栈深度,递归、回溯,枚举所有可能性、真值表生成,,,
实体,算法,04ALG019,全排列,中等,生成n个不同元素的所有排列（共n!种）。常用递归实现，通过交换元素来确定每个位置的元素，并对剩余元素进行递归排列。,,,O(n * n!)，因为有n!种排列，每种排列输出或生成需要O(n),O(n)，递归栈深度,递归、回溯、交换,组合优化问题、枚举所有排列,,,
实体,算法,04ALG020,迷宫问题求解,中等,寻找从迷宫入口到出口的一条路径。可以使用深度优先搜索（DFS，通常用递归或栈实现）或广度优先搜索（BFS，通常用队列实现）。DFS找到的是任意一条路径，BFS找到的是最短路径（按步数）。,,,"O(m*n)，m,n为迷宫尺寸",O(m*n)，最坏情况下访问所有格子,搜索（DFS/BFS）、回溯、栈/队列应用,路径查找、图搜索,,,
实体,算法,04ALG021,汉诺塔问题求解,中等,将n个大小不同的圆盘从起始柱借助辅助柱移动到目标柱，每次只能移动一个，且大盘不能在小盘之上。这是一个经典的递归问题。将n个盘从A移到C（B为辅助）：1. 将n-1个盘从A移到B（C为辅助）；2. 将第n个盘从A移到C；3. 将n-1个盘从B移到C（A为辅助）。,,,O(2^n),O(n)，递归栈深度,递归、分治,递归教学示例、理解递归思想,,,
实体,概念,04CON001,后进先出,入门,"Last-In, First-Out (LIFO)。一种数据访问顺序原则，最后存入的数据最先被取出。栈是典型的LIFO结构。",,,,,,,,,
实体,概念,04CON002,先进先出,入门,"First-In, First-Out (FIFO)。一种数据访问顺序原则，最先存入的数据最先被取出。队列是典型的FIFO结构。",,,,,,,,,
实体,概念,04CON003,中缀表达式,入门,一种常见的算术表达式表示法，其中运算符位于其操作数之间（例如 a + b）。计算时需要考虑运算符优先级和括号。,,,,,,,,,
实体,概念,04CON004,后缀表达式,中等,"也称为逆波兰表示法（Reverse Polish Notation, RPN）。一种算术表达式表示法，其中运算符位于其操作数之后（例如 a b +）。计算时不需要考虑优先级或括号，只需从左到右扫描，使用栈即可方便求值。",,,,,,,,,
实体,概念,04CON005,运算符优先级,入门,在算术表达式中，不同运算符具有不同的计算优先顺序。例如，乘除通常优先于加减。括号可以改变运算顺序。在中缀表达式求值和转换中必须考虑优先级。,,,,,,,,,
实体,概念,04CON006,递归,中等,一种解决问题的方法，其中函数直接或间接调用自身来解决规模更小的相同问题。递归需要包含基本情况（终止条件）以防止无限调用。系统通常使用栈来管理递归调用的上下文。,,,,,,,,,
实体,数据结构,05DS001,树,入门,一种重要的非线性数据结构，是树形结构的简称。由n(n>=0)个有限结点组成一个具有层次关系的集合。它或者为空树，或者由一个根结点和若干棵互不相交的子树组成。,取决于存储方式和树的形态,层次性、递归定义,,,,,,,
实体,概念,05CON002,子树,入门,在一棵非空树中，除根结点外，其余所有结点被分为m棵(m>=0)互不相交的集合，每个集合本身又是一棵树，被称为根的子树。,,,,,,,,,
实体,概念,05CON004,度,入门,结点拥有的子树数目（或后继结点数）称为结点的度。树中所有结点度的最大值称为树的度。,,,,,,,,,
实体,概念,05CON007,孩子结点,入门,一个结点的直接后继结点（子树的根）。,,,,,,,,,
实体,概念,05CON008,双亲结点,入门,一个结点的直接前驱结点。,,,,,,,,,
实体,概念,05CON009,兄弟结点,入门,具有相同双亲结点的结点。,,,,,,,,,
实体,概念,05CON010,层数,入门,结点的层数从根开始定义，根为第1层，根的孩子为第2层，以此类推。,,,,,,,,,
实体,概念,05CON011,深度,入门,树中结点的最大层数，也称为高度。,,,,,,,,,
实体,概念,05CON012,有序树,入门,树中各结点的子树是按照一定的次序从左向右安排的，次序不能互换。,,,,,,,,,
实体,概念,05CON013,无序树,入门,树中各结点的子树之间没有固定的次序，可以任意交换位置。,,,,,,,,,
实体,概念,05CON014,森林,入门,m(m>=0)棵互不相交的树的集合。,,,,,,,,,
实体,数据结构,05DS002,二叉树,入门,度为2的有序树。递归定义为空树，或者由一个根结点加上左、右两棵互不相交的二叉子树组成。左、右子树次序不能颠倒。,顺序存储可能浪费空间，链式存储相对灵活,有序性、最大度为2、左右子树区分,,,,,,,
实体,概念,05CON015,左子树,入门,二叉树根结点的左边分支所代表的二叉树。,,,,,,,,,
实体,概念,05CON016,右子树,入门,二叉树根结点的右边分支所代表的二叉树。,,,,,,,,,
实体,概念,05CON017,左孩子,入门,二叉树中一个结点的左子树的根结点。,,,,,,,,,
实体,概念,05CON018,右孩子,入门,二叉树中一个结点的右子树的根结点。,,,,,,,,,
实体,数据结构,05DS003,满二叉树,入门,一棵深度为h且有2^h-1个结点的二叉树。每一层都达到了最大结点数。,顺序存储效率高,结构规整、层序结点编号连续,,,,,,,
实体,数据结构,05DS004,完全二叉树,入门,深度为h、有n个结点的二叉树，当且仅当其每个结点都与深度为h的满二叉树中编号为1至n的结点一一对应时，称为完全二叉树。除最后一层外，其余层都是满的，最后一层结点从左到右连续排列。,适合顺序存储,结点编号与满二叉树部分对应、适用于堆,,,,,,,
实体,数据结构,05DS005,理想平衡二叉树,中等,除最后一层外，其余各层都是满的二叉树。最后一层结点可以任意分布。,比完全二叉树可能稍差,层数尽可能少,,,,,,,
实体,概念,05CON021,二叉链表,入门,二叉树的常用链接存储结构，每个结点包含数据域、指向左孩子的指针域和指向右孩子的指针域。有时还包含指向双亲的指针。,,,,,,,,,
实体,算法,05ALG001,前序遍历,入门,二叉树遍历算法。访问顺序：根结点 -> 左子树 -> 右子树。递归实现。,,,O(n),O(h) (h为树高，递归栈深度),递归、深度优先,复制二叉树、输出树结构（前缀表示）,,,
实体,算法,05ALG002,中序遍历,入门,二叉树遍历算法。访问顺序：左子树 -> 根结点 -> 右子树。递归实现。,,,O(n),O(h) (h为树高，递归栈深度),递归、深度优先,对二叉排序树可得到有序序列,,,
实体,算法,05ALG003,后序遍历,入门,二叉树遍历算法。访问顺序：左子树 -> 右子树 -> 根结点。递归实现。,,,O(n),O(h) (h为树高，递归栈深度),递归、深度优先,计算表达式树、释放树结点空间,,,
实体,算法,05ALG004,按层遍历,入门,树/二叉树遍历算法。按照从上到下、同一层从左到右的次序访问结点。非递归实现，通常使用队列。,,,O(n),O(W) (W为树的最大宽度),广度优先,查找最短路径（在图中）、按层级处理问题,,,
实体,算法,05ALG005,初始化二叉树,入门,将二叉树设置为空树的操作，通常是将根指针置为NULL。,,,O(1),O(1),基本操作,创建新的二叉树之前,,,
实体,算法,05ALG006,建立二叉树,中等,根据给定的输入（如广义表字符串、前序/中序序列等）创建二叉树的链接存储结构。使用广义表创建时通常需要栈辅助。,,,O(n),O(h) (栈深度),递归或迭代（使用栈）,从外部表示构造内存中的二叉树,,,
实体,算法,05ALG007,判空二叉树,入门,判断二叉树是否为空的操作，通常检查根指针是否为NULL。,,,O(1),O(1),基本状态检查,在进行其他操作前检查树是否有效,,,
实体,算法,05ALG008,求二叉树深度,入门,"计算二叉树的最大层数。递归定义：空树深度0，非空树深度 = max(左子树深度, 右子树深度) + 1。",,,O(n),O(h),递归,了解树的规模和平衡性,,,
实体,算法,05ALG009,查找二叉树结点,入门,在二叉树中查找具有特定值的结点。通常采用类似遍历的方式进行。,,,O(n) (最坏),O(h) (递归),递归搜索,定位树中特定元素,,,
实体,算法,05ALG010,输出二叉树,入门,将二叉树的结构以某种形式（如广义表）打印输出。,,,O(n),O(h),递归（类前序遍历）,可视化或调试树结构,,,
实体,算法,05ALG011,清除二叉树,入门,删除二叉树中的所有结点，释放其占用的内存空间，使树变为空树。通常采用后序遍历的递归思想。,,,O(n),O(h),递归（类后序遍历）,销毁不再使用的树,,,
实体,数据结构,05DS008,k叉树,入门,树中任意结点的度最多为k的树，也称多叉树或多元树。是树的一般形式。,取决于存储方式，标准链接方式指针域较多,最大度为k,,,,,,,
实体,算法,05ALG012,初始化树,入门,将普通树（k叉树）设置为空树的操作。,,,O(1),O(1),基本操作,创建新树之前,,,
实体,算法,05ALG013,建立树,中等,根据给定的输入（如广义表字符串）创建普通树（k叉树）的链接存储结构。通常需要栈辅助。,,,O(n),O(h),迭代（使用栈）,从外部表示构造内存中的树,,,
实体,算法,05ALG014,查找树结点,入门,在普通树（k叉树）中查找具有特定值的结点。,,,O(n),O(h),递归搜索（类先根遍历）,定位树中特定元素,,,
实体,算法,05ALG015,输出树,入门,将普通树（k叉树）的结构以广义表形式打印输出。,,,O(n),O(h),递归（类先根遍历）,可视化或调试树结构,,,
实体,算法,05ALG016,清除树,入门,删除普通树（k叉树）中的所有结点，释放其占用的内存空间。,,,O(n),O(h),递归（类后根遍历）,销毁不再使用的树,,,
实体,算法,05ALG017,判空树,入门,判断普通树（k叉树）是否为空的操作。,,,O(1),O(1),基本状态检查,在进行其他操作前检查树是否有效,,,
实体,算法,05ALG018,先根遍历,入门,普通树（k叉树）的遍历算法。访问顺序：根结点 -> 从左到右依次遍历各子树。递归实现。,,,O(n),O(h),递归、深度优先,复制树、输出树结构,,,
实体,算法,05ALG019,后根遍历,入门,普通树（k叉树）的遍历算法。访问顺序：从左到右依次遍历各子树 -> 根结点。递归实现。,,,O(n),O(h),递归、深度优先,计算树的某些属性（如高度）、释放树结点,,,
实体,数据结构,06DS001,二叉搜索树,中等,定义: 又称二叉排序树，它或是一棵空树，或者是一棵具有如下特性的非空二叉树：(1)若左子树非空，则左子树上所有结点的关键字均小于根结点的关键字；(2)若右子树非空，则右子树上所有结点的关键字均大于等于根结点的关键字；(3)左、右子树本身又各是一棵二叉搜索树。特性: 中序遍历结果为有序序列。适用场景: 需要高效查找、插入、删除有序数据的场景。,O(n)，通常采用链式存储结构。,有序性（中序遍历）、支持高效查找,,,,,,,
实体,数据结构,06DS002,堆,中等,定义: 具有特定性质的完全二叉树，分为小根堆（父结点值<=子结点值）和大根堆（父结点值>=子结点值）。特性: 根结点是整个堆中的最小值（小根堆）或最大值（大根堆）。适用场景: 优先队列实现、堆排序。,O(n)，通常采用顺序存储结构（数组）。,部分有序（堆性质）、根为极值、完全二叉树结构,,,,,,,
实体,数据结构,06DS003,小根堆,中等,定义: 堆的一种，满足特性：(1)若根存在左孩子，则根结点值<=左孩子值；(2)若根存在右孩子，则根结点值<=右孩子值；(3)左右子树也分别为小根堆。特性: 堆顶（根结点）存放的是整个堆中的最小值。适用场景: 高效获取最小值、优先队列（小顶）。,O(n)，通常采用顺序存储结构。,根为最小值,,,,,,,
实体,数据结构,06DS004,大根堆,中等,定义: 堆的一种，满足特性：(1)若根存在左孩子，则根结点值>=左孩子值；(2)若根存在右孩子，则根结点值>=右孩子值；(3)左右子树也分别为大根堆。特性: 堆顶（根结点）存放的是整个堆中的最大值。适用场景: 高效获取最大值、优先队列（大顶）。,O(n)，通常采用顺序存储结构。,根为最大值,,,,,,,
实体,数据结构,06DS005,哈夫曼树,中等,定义: 又称最优二叉树，指对于n个带权叶子结点构成的所有二叉树中，带权路径长度(WPL)最小的二叉树。特性: 权值越大的叶子结点离根越近，树中只有度为0（叶子）和度为2（分支）的结点。适用场景: 数据压缩（哈夫曼编码）。,O(n)，通常采用链式存储结构。,带权路径长度最小,,,,,,,
实体,数据结构,06DS006,线索二叉树,中等,定义: 利用二叉树结点中的空指针域（原本指向NULL的指针）存放指向该结点在某种遍历次序下的前驱或后继结点的指针（线索）。特性: 便于快速查找结点的直接前驱和后继，实现非递归遍历。适用场景: 需要频繁查找前驱/后继或进行非递归遍历的二叉树应用。,O(n)，链式存储，每个结点增加两个标志位以区分指针是孩子还是线索。,利用空指针域存储前驱/后继信息,,,,,,,
实体,数据结构,06DS007,平衡二叉树,高级,"定义: 又称AVL树，它或者是一棵空树，或者是一棵左右子树的高度差的绝对值不超过1，并且左右两棵子树也都是平衡二叉树的二叉搜索树。特性: 通过旋转操作（LL, RR, LR, RL）维持树的平衡，确保查找、插入、删除操作的时间复杂度稳定在O(log n)。适用场景: 对查找性能要求较高且数据动态变化的场景。",O(n)，链式存储，结点通常需要额外存储平衡因子。,自平衡性、高效稳定的查找性能,,,,,,,
实体,算法,06ALG001,查找 (二叉搜索树),入门,"原理: 从根结点开始，若查找值等于当前结点值，则成功；若小于，则在左子树中查找；若大于，则在右子树中查找。递归或迭代实现。伪代码: 见教材 bool Find(BST, item) 和 bool Find1(BST, item)。",,,平均O(log n)，最坏O(n),递归: 平均O(log n)，最坏O(n); 非递归: O(1),比较、分治,在二叉搜索树中定位特定值的结点。,,,
实体,算法,06ALG002,更新 (二叉搜索树),入门,原理: 首先执行查找操作定位到目标结点，若找到，则用新值更新该结点的数据域。,,,平均O(log n)，最坏O(n),递归: 平均O(log n)，最坏O(n); 非递归: O(1),查找与修改,修改二叉搜索树中已存在结点的值。,,,
实体,算法,06ALG003,插入 (二叉搜索树),入门,"原理: 从根结点开始查找待插入值的位置，直到找到一个空链接，将新结点插入此处。递归或迭代实现。伪代码: 见教材 void Insert(BST, item) 和 void Insert1(BST, item)。",,,平均O(log n)，最坏O(n),递归: 平均O(log n)，最坏O(n); 非递归: O(1),查找插入点、链接,向二叉搜索树中添加新元素，保持其性质。,,,
实体,算法,06ALG004,删除 (二叉搜索树),中等,"原理: 查找到待删除结点后，分三种情况处理：(1) 叶子结点：直接删除。(2) 单分支结点：用其子结点替换。(3) 双分支结点：用其右子树的最小结点（中序后继）或左子树的最大结点（中序前驱）替换，然后删除那个替换结点。伪代码: 见教材 bool Delete(BST, item)。",,,平均O(log n)，最坏O(n),递归: 平均O(log n)，最坏O(n); 非递归: O(1),分情况讨论、替换,从二叉搜索树中移除指定元素，保持其性质。,,,
实体,算法,06ALG005,插入 (堆),入门,"原理: 将新元素添加到堆的末尾（数组末尾），然后通过与其父结点比较并交换（向上调整或sift-up），直到满足堆性质或到达根结点。伪代码: 见教材 void InsertHeap(HBT, item)。",,,O(log n),O(1),添加、向上调整,向堆中添加元素，维持堆结构。,,,
实体,算法,06ALG006,删除 (堆),入门,原理: 删除堆顶元素（通常是最大或最小值）。将堆底元素移到堆顶，然后通过与子结点比较并交换（向下调整或sift-down），恢复堆性质。伪代码: 见教材 ElemType DeleteHeap(HBT)。,,,O(log n),O(1),替换、向下调整,从堆中移除并获取极值元素。,,,
实体,算法,06ALG008,线索化,中等,"原理: 在对二叉树进行某种遍历（如中序）的过程中，检查结点的空左/右指针域，将其设置为指向该结点在此遍历序列中的前驱/后继结点的线索，并设置相应的标志位。伪代码: 见教材 void InThread(HBT, pre)。",,,O(n),O(h)（递归栈）,遍历、指针修改,将普通二叉树转换为线索二叉树。,,,
实体,算法,06ALG009,CreateHuffman,中等,"原理: (1) 初始化n棵只有一个带权根结点的二叉树森林。(2) 重复n-1次：选取森林中权值最小的两棵树，合并成一棵新树（新根权值为两者之和），用新树替换原来的两棵树。(3) 最终得到唯一的哈夫曼树。伪代码: 见教材 BTreeNode CreateHuffman(a, n)。",,,O(n log n)（使用优先队列优化选择）或 O(n^2)（简单查找）,O(n),贪心算法,根据给定的权值构造哈夫曼树。,,,
实体,算法,06ALG010,WeightPathLength,入门,"原理: 递归计算哈夫曼树的带权路径长度。若当前结点是叶子，返回其权值乘以其深度；否则，返回左右子树的WPL之和。伪代码: 见教材 ElemType WeightPathLength(FBT, len)。",,,O(n),O(h)，h为树高,递归,计算哈夫曼树的总权值（WPL）。,,,
实体,算法,06ALG011,HuffmanCoding,中等,"原理: 从哈夫曼树的根结点开始递归遍历，向左子树走路径编码加'0'，向右子树走加'1'。到达叶子结点时，记录下的路径编码即为该叶子结点代表字符的哈夫曼编码。伪代码: 见教材 void HuffManCoding(FBT, len)。",,,O(n),O(h)，h为树高,递归、回溯,根据哈夫曼树生成各字符的哈夫曼编码。,,,
实体,算法,06ALG012,LL型调整,中等,原理: 当在平衡二叉树的某个结点(A)的左孩子(B)的左子树上插入新结点导致A失衡时进行。执行一次右旋转操作：B提升为新的根，A成为B的右孩子，B原来的右子树成为A的左子树。伪代码: 见教材图6-16。,,,O(1),O(1),单旋转（右旋）,恢复平衡二叉树因LL型插入导致的失衡。,,,
实体,算法,06ALG013,RR型调整,中等,原理: 当在平衡二叉树的某个结点(A)的右孩子(B)的右子树上插入新结点导致A失衡时进行。执行一次左旋转操作：B提升为新的根，A成为B的左孩子，B原来的左子树成为A的右子树。伪代码: 见教材图6-18。,,,O(1),O(1),单旋转（左旋）,恢复平衡二叉树因RR型插入导致的失衡。,,,
实体,算法,06ALG014,LR型调整,中等,原理: 当在平衡二叉树的某个结点(A)的左孩子(B)的右子树(根为C)上插入新结点导致A失衡时进行。先对B执行一次左旋转（RR型），再对A执行一次右旋转（LL型）。伪代码: 见教材图6-19。,,,O(1),O(1),双旋转（先左后右）,恢复平衡二叉树因LR型插入导致的失衡。,,,
实体,算法,06ALG015,RL型调整,中等,原理: 当在平衡二叉树的某个结点(A)的右孩子(B)的左子树(根为C)上插入新结点导致A失衡时进行。先对B执行一次右旋转（LL型），再对A执行一次左旋转（RR型）。伪代码: 见教材图6-21。,,,O(1),O(1),双旋转（先右后左）,恢复平衡二叉树因RL型插入导致的失衡。,,,
实体,算法,06ALG016,CreateBSTree,入门,"原理: 初始化一个空二叉搜索树，然后遍历给定的元素数组，依次调用二叉搜索树的插入算法将每个元素插入树中。伪代码: 见教材 void CreateBSTree(BST, a, n)。",,,平均O(n log n)，最坏O(n^2),取决于插入算法（递归或非递归）,迭代调用插入,根据一组初始数据构建二叉搜索树。,,,
实体,算法,06ALG017,CreateThread1,中等,"原理: 初始化一个空树，然后遍历给定的元素数组，依次调用专门的带线索链接的插入算法（如InsertThread1）将每个元素插入，构建带线索的二叉搜索树。伪代码: 见教材 void CreateThread1(HBT, a, n)。",,,平均O(n log n)，最坏O(n^2),O(1)（若插入非递归）,迭代调用带线索插入,根据一组初始数据直接构建线索二叉搜索树。,,,
实体,算法,06ALG018,ThInorder,入门,原理: 利用中序线索进行非递归中序遍历。(1)找到中序序列的第一个结点（最左下结点）。(2)循环：访问当前结点，然后利用InorderNext算法找到下一个中序后继结点，直到后继为空。伪代码: 见教材 void ThInorder(HBT)。,,,O(n),O(1),利用线索迭代,高效、无栈的中序遍历线索二叉树。,,,
实体,算法,06ALG019,InThread,中等,"原理: 通过递归中序遍历二叉树，在访问结点V时：(1)如果V的左指针为空，则将其指向其中序前驱。(2)如果其中序前驱的右指针为空，则将其指向V。同时更新线索标志。伪代码: 见教材 void InThread(HBT, pre)。",,,O(n),O(h)，h为树高（递归栈）,递归遍历，线索链接,将普通二叉树转换为中序线索二叉树。,,,
实体,概念,06CON003,路径,入门,定义: 树中从一个结点到另一个结点的结点序列。,,,,,,,,,
实体,概念,06CON004,路径长度,入门,定义: 路径上所包含的分支（边）的数量。,,,,,,,,,
实体,概念,06CON005,结点的权,入门,定义: 赋予树中结点的具有特定含义的数值。在哈夫曼树中通常代表字符频率或重要性。,,,,,,,,,
实体,概念,06CON006,带权路径长度,中等,定义: 树中所有叶子结点的带权路径长度之和，记为WPL。其中，叶子结点的带权路径长度 = 该叶子结点的权值 × 根到该叶子的路径长度。哈夫曼树的目标是最小化WPL。,,,,,,,,,
实体,概念,06CON007,线索,中等,定义: 在线索二叉树中，利用空闲指针域存储的指向结点在特定遍历序列中的前驱或后继结点的指针。分为左线索（指向前驱）和右线索（指向后继）。,,,,,,,,,
实体,概念,06CON008,平衡因子,中等,定义: 二叉树中结点的左子树高度减去右子树高度的值。在平衡二叉树（AVL树）中，每个结点的平衡因子只能是-1、0或1。,,,,,,,,,
实体,概念,06CON009,最小不平衡子树,中等,定义: 在向平衡二叉树插入或删除结点导致失衡后，以距离插入/删除点最近的那个平衡因子绝对值大于1的结点为根的子树。是进行平衡调整的目标。,,,,,,,,,
实体,概念,06CON011,前驱,入门,定义: 在某个线性序列（如遍历序列）中，紧邻于某结点之前的那个结点。,,,,,,,,,
实体,概念,06CON012,后继,入门,定义: 在某个线性序列（如遍历序列）中，紧邻于某结点之后的那个结点。,,,,,,,,,
实体,概念,06CON013,中序前驱,入门,定义: 在二叉树的中序遍历序列中，某结点的前驱结点。,,,,,,,,,
实体,概念,06CON014,中序后继,入门,定义: 在二叉树的中序遍历序列中，某结点的后继结点。,,,,,,,,,
实体,数据结构,07DS001,图,中等,"图(graph)是图型结构的简称，是一种复杂的非线性数据结构。由顶点集V和边集E组成，G=(V,E)。V是顶点集合，E是V上顶点对（序偶或无序对）的集合，即边的集合。允许每个顶点有任意多个前驱和后继。线性表和树可看作图的特例。广泛应用于交通图、线路图、结构图等。","依赖于具体表示法（邻接矩阵O(n^2), 邻接表O(n+e), 边集数组O(e))",非线性、顶点间关系灵活（多对多）,,,,,,,
实体,概念,07CON001,顶点,入门,图的基本组成单元，代表实体。通常用 V 表示顶点集合。,,,,,,,,,
实体,概念,07CON002,边,入门,连接图中两个顶点，表示它们之间关系的线。可以是序偶（有向边）或无序对（无向边）。通常用 E 表示边集合。,,,,,,,,,
实体,概念,07CON003,顶点集,入门,图中所有顶点的集合，通常记为V(G)。,,,,,,,,,
实体,概念,07CON004,边集,入门,图中所有边的集合，通常记为E(G)。边可以是序偶（有向图）或无序对（无向图）。,,,,,,,,,
实体,概念,07CON006,无向边,入门,"没有方向的边，由一个无序顶点对 (vi, vj) 表示。",,,,,,,,,
